Date,Close/Last,Volume,Open,High,Low
09/23/2024,$141.72,4567102,$139.96,$143.60,$139.80
09/20/2024,$138.90,7362039,$140.00,$140.85,$137.41
09/19/2024,$140.59,7688965,$144.99,$147.42,$140.14
09/18/2024,$138.36,6306277,$137.00,$143.10,$136.70
09/17/2024,$136.84,5117856,$140.40,$142.50,$136.28
09/16/2024,$138.40,9734693,$143.00,$143.76,$136.55
09/13/2024,$147.37,10883330,$142.00,$149.93,$141.37
09/12/2024,$139.18,7005879,$136.32,$141.38,$135.70
09/11/2024,$140.32,11056790,$129.20,$140.63,$128.1787
09/10/2024,$127.22,4896193,$128.045,$128.4668,$123.0215
09/09/2024,$125.54,7321547,$122.635,$126.24,$120.08
09/06/2024,$117.29,6769965,$122.004,$122.165,$114.91
09/05/2024,$123.09,4660243,$118.80,$124.4668,$118.63
09/04/2024,$120.95,6041559,$121.70,$123.40,$117.42
09/03/2024,$123.74,6382503,$129.865,$130.39,$122.04
08/30/2024,$132.88,4763139,$133.32,$137.10,$131.84
08/29/2024,$131.93,9715222,$125.50,$134.94,$125.37
08/28/2024,$125.32,7388108,$130.00,$131.30,$121.88
08/27/2024,$131.20,4241383,$127.465,$131.62,$125.49
08/26/2024,$128.90,6042284,$134.505,$135.30,$127.36
08/23/2024,$135.63,7286758,$130.00,$138.05,$129.74
08/22/2024,$129.72,4736284,$132.43,$133.63,$128.55
08/21/2024,$131.20,6235306,$131.41,$131.46,$127.79
08/20/2024,$129.95,5847701,$132.215,$135.60,$128.02
08/19/2024,$132.31,6272107,$130.62,$132.44,$126.29
08/16/2024,$130.30,6100567,$131.20,$133.10,$129.80
08/15/2024,$130.44,8011345,$129.76,$132.05,$128.43
08/14/2024,$125.92,11101700,$128.82,$130.6999,$123.79
08/13/2024,$123.79,8894429,$119.70,$125.70,$118.30
08/12/2024,$117.13,6345188,$117.66,$122.00,$115.32
08/09/2024,$117.00,6421299,$118.98,$120.29,$115.77
08/08/2024,$118.43,9931650,$111.80,$118.68,$107.94
08/07/2024,$107.09,13228490,$117.80,$120.09,$106.53
08/06/2024,$113.39,11424970,$115.53,$117.97,$109.50
08/05/2024,$110.45,15552580,$98.50,$113.50,$96.66
08/02/2024,$113.45,14669990,$114.74,$115.63,$108.73
08/01/2024,$121.51,31205170,$128.71,$134.87,$118.18
07/31/2024,$144.17,16513000,$143.41,$145.48,$138.94
07/30/2024,$132.96,11738910,$140.73,$142.07,$129.10
07/29/2024,$141.44,9603111,$146.38,$149.95,$138.71
07/26/2024,$149.00,8156191,$155.36,$155.51,$145.61
07/25/2024,$149.14,15995960,$151.68,$155.63,$140.00
07/24/2024,$157.68,9321071,$167.15,$167.15,$157.18
07/23/2024,$171.70,8036757,$163.24,$173.23,$161.87
07/22/2024,$163.55,6179128,$165.47,$168.79,$162.68
07/19/2024,$163.40,7106840,$162.85,$165.05,$160.63
07/18/2024,$158.33,10996290,$165.85,$166.66,$152.22
07/17/2024,$161.70,12350620,$169.98,$172.36,$161.53
07/16/2024,$178.77,5767464,$180.00,$180.95,$172.54
07/15/2024,$177.53,5469526,$182.11,$183.74,$176.86
07/12/2024,$181.18,8999709,$174.07,$183.05,$173.50
07/11/2024,$173.19,10662180,$186.84,$187.28,$173.0301
07/10/2024,$186.46,6986366,$183.39,$187.47,$178.50
07/09/2024,$182.28,9258555,$186.10,$188.75,$179.11
07/08/2024,$184.70,9516780,$181.04,$186.38,$179.5146
07/05/2024,$181.19,14231320,$172.00,$182.65,$169.6001
07/03/2024,$168.24,6649290,$162.42,$170.66,$159.31
07/02/2024,$163.46,5753481,$156.85,$163.6197,$155.27
07/01/2024,$158.83,8387526,$163.43,$163.85,$152.55
06/28/2024,$163.62,7095948,$167.25,$170.88,$162.33
06/27/2024,$166.935,8980296,$162.556,$168.82,$160.79
06/26/2024,$164.72,11598300,$161.63,$166.80,$159.51
06/25/2024,$160.61,10333160,$151.57,$161.95,$149.50
06/24/2024,$151.07,9260941,$156.87,$157.77,$150.60
06/21/2024,$160.30,21934970,$156.562,$162.20,$151.3725
06/20/2024,$160.77,22162340,$173.13,$173.85,$156.00
06/18/2024,$174.13,22339060,$160.03,$177.31,$159.32
06/17/2024,$160.29,12826930,$160.17,$162.70,$153.6201
06/14/2024,$157.89,22260010,$159.90,$167.69,$153.50
06/13/2024,$158.05,15371940,$157.335,$161.49,$150.67
06/12/2024,$155.59,17284330,$146.00,$158.71,$145.20
06/11/2024,$143.92,11434770,$139.08,$147.50,$139.00
06/10/2024,$139.91,8883753,$134.785,$142.09,$132.50
06/07/2024,$136.57,6610104,$136.93,$140.97,$135.31
06/06/2024,$137.125,8874515,$134.79,$138.41,$132.41
06/05/2024,$136.67,12612250,$126.83,$136.8499,$126.72
06/04/2024,$125.86,6879787,$126.875,$127.67,$122.89
06/03/2024,$127.12,11447940,$125.00,$129.85,$122.54
05/31/2024,$120.52,9110420,$119.92,$123.88,$116.01
05/30/2024,$120.73,6809687,$121.80,$123.5004,$117.77
05/29/2024,$120.65,8166773,$123.70,$123.70,$119.05
05/28/2024,$124.94,16202680,$115.455,$125.98,$115.32
05/24/2024,$114.64,4735978,$112.77,$115.56,$111.60
05/23/2024,$112.53,8450553,$117.00,$117.33,$110.38
05/22/2024,$112.43,8406909,$115.01,$117.3605,$111.65
05/21/2024,$114.77,10468850,$110.00,$115.779,$109.50
05/20/2024,$110.46,5260806,$111.00,$111.3299,$108.69
05/17/2024,$110.35,7523269,$115.60,$115.68,$109.6101
05/16/2024,$114.27,6446297,$115.69,$116.8746,$113.89
05/15/2024,$113.67,9544257,$118.40,$118.50,$112.5163
05/14/2024,$116.65,8046116,$115.82,$117.41,$114.35
05/13/2024,$117.23,16402550,$114.00,$117.58,$110.86
05/10/2024,$108.84,15281030,$106.20,$110.3723,$106.20
05/09/2024,$103.59,29441150,$99.27,$106.90,$97.76
05/08/2024,$106.07,15211320,$107.80,$109.94,$104.65
05/07/2024,$107.80,8187311,$109.30,$109.69,$106.5404
05/06/2024,$106.98,7489247,$103.82,$107.92,$103.595
05/03/2024,$101.70,5780156,$101.62,$104.36,$100.4487
05/02/2024,$98.00,4117395,$98.99,$100.30,$96.13
05/01/2024,$95.29,6090454,$99.98,$100.60,$95.24
04/30/2024,$101.21,3783680,$103.02,$105.1944,$100.85
04/29/2024,$103.24,4009208,$102.20,$103.40,$99.05
04/26/2024,$101.95,5651662,$101.40,$102.30,$98.22
04/25/2024,$97.93,6140842,$96.05,$99.67,$95.50
04/24/2024,$99.88,11697820,$102.00,$103.75,$97.2401
04/23/2024,$96.04,11212390,$97.32,$98.37,$95.05
04/22/2024,$93.11,15199460,$89.94,$94.315,$89.06
04/19/2024,$87.19,29439000,$100.00,$103.01,$85.61
04/18/2024,$104.92,11961200,$106.32,$107.2963,$102.58
04/17/2024,$107.56,19639230,$121.87,$122.6817,$107.01
04/16/2024,$122.22,4071531,$122.00,$124.24,$120.91
04/15/2024,$122.32,5003304,$126.20,$126.87,$120.95
04/12/2024,$126.33,4950851,$128.99,$130.3389,$125.37
04/11/2024,$131.13,6139066,$126.00,$131.20,$125.51
04/10/2024,$125.18,4974491,$124.99,$127.60,$123.895
04/09/2024,$126.81,12997160,$133.51,$135.41,$124.50
04/08/2024,$129.25,6943866,$124.82,$130.50,$123.39
04/05/2024,$124.82,4537556,$122.60,$125.72,$120.02
04/04/2024,$122.01,5477260,$126.50,$127.98,$121.82
04/03/2024,$125.31,3875999,$123.00,$125.9796,$122.62
04/02/2024,$124.28,5042778,$125.20,$125.63,$121.12
04/01/2024,$126.91,5011885,$126.36,$128.73,$124.6406
03/28/2024,$124.99,7407193,$125.68,$128.32,$124.16
03/27/2024,$125.62,11317880,$130.00,$130.86,$122.83
03/26/2024,$127.96,21244450,$141.10,$145.00,$126.91
03/25/2024,$138.31,12928870,$137.155,$143.75,$137.15
03/22/2024,$134.15,6999592,$133.81,$136.10,$132.50
03/21/2024,$133.60,7568797,$134.70,$137.00,$132.0139
03/20/2024,$131.33,6861505,$126.53,$131.98,$125.23
03/19/2024,$124.59,8135365,$125.50,$127.10,$121.52
03/18/2024,$129.75,6216320,$128.17,$132.80,$127.73
03/15/2024,$126.97,8880494,$128.71,$134.20,$126.12
03/14/2024,$130.96,10070940,$130.13,$136.29,$127.59
03/13/2024,$131.27,9097646,$129.00,$132.70,$125.80
03/12/2024,$129.50,18220620,$125.00,$129.99,$121.3801
03/11/2024,$126.74,10174790,$126.60,$130.7416,$124.12
03/08/2024,$131.48,14132450,$139.69,$142.90,$131.20
03/07/2024,$140.85,14358580,$140.00,$146.54,$138.81
03/06/2024,$136.99,9063327,$138.09,$139.3369,$133.2629
03/05/2024,$134.07,9116025,$135.50,$136.37,$130.00
03/04/2024,$138.01,14294990,$145.39,$148.4799,$137.75
03/01/2024,$141.62,9856913,$141.48,$144.98,$139.04
02/29/2024,$141.04,10300020,$136.28,$141.22,$135.45
02/28/2024,$133.86,9682632,$136.15,$136.29,$131.31
02/27/2024,$137.95,17481270,$144.905,$147.33,$137.00
02/26/2024,$146.20,26547870,$139.00,$149.92,$138.1751
02/23/2024,$133.34,20317050,$129.095,$136.00,$128.86
02/22/2024,$128.53,29492400,$132.87,$138.50,$128.51
02/21/2024,$123.39,22418080,$117.76,$125.4999,$116.81
02/20/2024,$121.77,21117310,$123.78,$123.80,$115.49
02/16/2024,$128.34,26122330,$129.50,$135.98,$123.05
02/15/2024,$133.68,34996640,$131.00,$135.00,$123.51
02/14/2024,$126.40,42519550,$133.81,$134.84,$121.02
02/13/2024,$119.98,68563880,$128.12,$137.50,$117.00
02/12/2024,$148.97,111349700,$120.16,$164.00,$118.69
